Reference time: 04/16/19 06:14:52 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
CentisecTime: 155539529240,,,,,,,,,,,,,,,,,,,,,,,,,
DeviceID: 71, DeviceFamily: S6, OFVersion: 2.1.0.999, FirmwareVersion: 1.01,,,,,,,,,,,,,,,,,,,,,,
Acceleration.forward,Acceleration.side,Acceleration.up,Rotation.roll,Rotation.pitch,Rotation.yaw,RawPlayerLoad,SmoothedPlayerLoad,imuAcceleration.forward,imuAcceleration.side,imuAcceleration.up,imuOrientation.forward,imuOrientation.side,imuOrientation.up,Facing,Latitude,Longitude,Odometer,RawVelocity,SmoothedVelocity,GNSS.LPS.Acceleration,MetabolicPower,GNSS.Fix,GNSS.Strength,GNSS.HDOP,HeartRate
-6.5248,0.592416,-2.69588,-53.07,-312.137,-174.399,0.775391,1.68667,-1.65174,0.222468,5.88579,0.985435,0.0748111,-0.152715,98.9636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-5.92126,0.574508,-3.01435,2.257,-332.267,-282.064,0.419434,1.69265,-2.15288,0.458137,5.29547,0.989953,0.0305706,-0.138052,98.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-4.9218,0.678084,-3.20069,67.222,-384.361,-335.134,0.632813,1.69848,-2.59087,0.71722,4.2632,0.992406,-0.0166624,-0.121874,99.0262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-3.81779,1.02414,-3.34638,122.488,-438.407,-318.298,0.899902,1.70417,-3.00052,1.06597,3.08451,0.993403,-0.0508378,-0.102789,97.8398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-2.73024,1.39779,-3.30524,165.798,-477.325,-247.355,1.02246,1.70973,-3.18163,1.36844,1.88743,0.994753,-0.0646946,-0.0792509,97.2577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.73175,1.51153,-3.00516,206.424,-494.771,-139.629,1.01465,1.71514,-3.01072,1.43583,0.78567,0.997037,-0.0590167,-0.0493331,97.0554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.06722,1.38279,-2.59472,220.576,-486.963,-37.271,0.86084,1.72037,-2.63245,1.32211,0.0516183,0.999137,-0.0387351,-0.0149848,102.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.580316,1.24243,-2.25931,212.585,-467.138,52.887,0.713379,1.72538,-2.27767,1.23289,-0.473619,0.99977,-0.00561853,0.0207232,108.145,-37.850883,144.9884868,363.824,0.4085,0.280201,-0.867134,0,12,0,0.78,0
-0.18634,1.04447,-1.99892,207.522,-444.08,109.373,0.597656,1.73013,-1.97171,1.1053,-0.890581,0.997849,0.0339995,0.0560461,113.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.044528,0.74294,-1.72014,199.226,-410.713,146.522,0.508789,1.7346,-1.65329,0.87127,-1.14255,0.993146,0.0750673,0.0895829,108.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.225544,0.566764,-1.51298,172.874,-372.344,160.979,0.410156,1.73881,-1.4041,0.758616,-1.33798,0.985979,0.116076,0.119884,103.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.371712,0.454476,-1.38182,144.448,-340.807,162.931,0.312012,1.74276,-1.22604,0.710514,-1.49613,0.976556,0.156492,0.147814,95.7284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.48884,0.33154,-1.27776,120.353,-309.819,151.28,0.251465,1.74643,-1.08234,0.645052,-1.62769,0.966112,0.192777,0.171652,87.9181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.618552,0.210056,-1.17418,101.626,-278.77,126.758,0.226563,1.74986,-0.939424,0.573685,-1.77059,0.955558,0.223025,0.192793,80.2754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.762784,0.100188,-1.08319,81.801,-243.329,93.635,0.213379,1.75307,-0.806301,0.509227,-1.92507,0.945938,0.246593,0.210698,71.1295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.93654,0.016456,-1.05125,56.791,-203.862,54.229,0.199219,1.75609,-0.719697,0.480483,-2.11071,0.938281,0.262877,0.224777,62.9848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.14756,-0.00242,-1.03624,32.818,-158.905,10.919,0.19873,1.75895,-0.632883,0.516452,-2.3128,0.933849,0.27215,0.23208,55.7941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.32955,-0.016456,-1.03044,11.407,-117.608,-23.058,0.187988,1.76161,-0.566984,0.544427,-2.48724,0.931668,0.275533,0.236806,58.0101,-37.8508832,144.9884885,363.975,0.6815,0.338108,-0.893299,0,12,0,0.78,0
